website,type,2nd type,3rd type,Source Notes (things to know?)
addictinginfo.org,clickbait,unreliable,,
amplifyingglass.com,clickbait,satire,,
amusmentic.com,clickbait,rumor,,
automotostar.com,clickbait,,,
bients.com,clickbait,,,
bigbluevision.org,clickbait,bias,,
bipartisanreport.com,clickbait,bias,,
blacklistednews.com,clickbait,unreliable,,
bluenationreview.com,clickbait,unreliable,,
breaking911.com,clickbait,unreliable,,
chicksontheright.com,clickbait,bias,,
educateinspirechange.org/health,clickbait,junksci,,
elitereaders.com,clickbait,,,
heatst.com,clickbait,bias,,
indiaarising.com,clickbait,unreliable,,
liberalamerica.org,clickbait,bias,,
libertywritersnews.com,clickbait,bias,unreliable,
lifesitenews.com,clickbait,bias,,
lifezette.com,clickbait,,,
livevote.com,clickbait,,,
lovethispic.com,clickbait,junksci,,
notallowedto.com,clickbait,fake,,
nymeta.co,clickbait,satire,,Entertainment website 
occupydemocrats.com,clickbait,bias,unreliable,
other98.com,clickbait,bias,unreliable,
politicususa.com,clickbait,unreliable,,
remedydaily.com,clickbait, ,,
topinfopost.com,clickbait,unreliable,conspiracy,
TrueActivist.com,clickbait,unreliable,,
twitchy.com,clickbait,rumor,,
uslifetoday.com,clickbait,,,doesn't appear to be currently updated
usuncut.com,clickbait,bias,unreliable,
viraltube.nl,clickbait,,,
yournationnews.com,clickbait,,,
yournewswire.com,clickbait,junksci,,
