website,type,2nd type,3rd type,Source Notes (things to know?)
21stcenturywire.com,conspiracy,,,
82.221.129.208,conspiracy,fake,, 
abeldanger.net,conspiracy,,,
abovetopsecret.com,conspiracy,rumor,,
activistpost.com,conspiracy,,,
Alt-Market.com,conspiracy,bias, ,
americanfreepress.net,conspiracy,bias,,
americanreviewer.com,conspiracy,,,
angrypatriotmovement.com,conspiracy,fake,,
assassinationscience.com,conspiracy,junksci,,
awarenessact.com,conspiracy,junksci,,
awdnews.com,conspiracy,,,twitter account deleted?
BB4SP.com,conspiracy,bias,fake,
blackgenocide.org,conspiracy,bias,hate,
BullionBullsCanada.com,conspiracy,,,"The ""one"" bank"
canadafreepress.com,conspiracy,bias, ,
concisepolitics.com,conspiracy,hate,,
conservativerefocus.com,conspiracy,,,
conspiracyplanet.com,conspiracy,,,
conspiracywire.com,conspiracy,,,
corbettreport.com,conspiracy,bias,,
corbettreport.com,conspiracy,,,
countdowntozerotime.com,conspiracy, ,,
counterpsyops.com,conspiracy,,,
cryptogon.com,conspiracy,unreliable,,copy-pasted commentary from various news & 'news' sources
dailyoccupation.com,conspiracy,bias,,
dataasylum.com,conspiracy,junksci,,
davidwolfe.com,conspiracy,,,
dcclothesline.com,conspiracy,junksci,,
disclosuremedia.net,conspiracy,,,
Dont-Tread-On.Me,conspiracy,,,doesn't seem to be updating anymore
Dutchsinse.com,conspiracy,,,weather control
EbolaHoax.com,conspiracy,,,domain for sale
educate-yourself.org,conspiracy,junksci,,
electionnightgatekeepers.com,conspiracy,unreliable,,
endoftheamericandream.com,Conspiracy,Fake,Political,Traffics in religious conspiracy theories and poorly sourced pro-Trump propaganda
Expose1933.com,conspiracy,hate,,"references to ""white genocide"" and ""race mixing"""
eyeopening.info,conspiracy,junksci,,
familysecuritymatters.org,conspiracy,bias,,
fellowshipoftheminds.com,conspiracy,junksci,,
fourwinds10.net,conspiracy,junksci,,
fprnradio.com,conspiracy,fake,,
FreedomForceInternational.com,conspiracy,,,global warming denial
freedomoutpost.com,conspiracy,bias, ,
fromthetrenchesworldreport.com,conspiracy,junksci,bias,
gaia.com,conspiracy,junksci,,
gangstergovernment.com,conspiracy,bias,,
globalresearch.ca,conspiracy,,,
godlikeproductions.com,conspiracy,,,
govtslaves.info,conspiracy,,,
greanvillepost.com,conspiracy,,, 
hangthebankers.com,conspiracy, ,,
henrymakow.com,conspiracy, ,,
humansarefree.com,conspiracy,,,
illuminati-news.com,conspiracy,,,
infiniteunknown.net,conspiracy,,,"""9/11 was an inside job"""
informationclearinghouse.info,conspiracy,unreliable,,
infowars.com,conspiracy,,,
intellihub.com,conspiracy,unreliable,,
investmentresearchdynamics.com,conspiracy,,,
ITCCS.org,conspiracy,,,
jesus-is-savior.com,conspiracy,,,
jihadwatch.org,conspiracy,hate,,
jonesreport.com,conspiracy,,,
knowledgeoftoday.org,conspiracy,,,http://www.knowledgeoftoday.org/2012/02/illuminati-secret-hidden-from-masses.html
libertymovementradio.com,conspiracy,,,
libertytalk.fm,conspiracy,,,
libertyvideos.org,conspiracy,,,
militianews.com,conspiracy,bias,hate,
nasamoonhoax.com,conspiracy,,,
NationalUFOCenter.com,conspiracy,,,
nationindistress.weebly.com,conspiracy,,,
neonnettle.com,conspiracy,fake,bias,http://www.neonnettle.com/features/732-pizzagate-worldwide-pedophile-ring-bust-begins-media-remains-silent-
newstarget.com,conspiracy,,,
nodisinfo.com,conspiracy,unreliable,,
NoMoreFakeNews.com,conspiracy,,,
nowtheendbegins.com,conspiracy,,,
OffGridSurvival.com,conspiracy,bias,,http://offgridsurvival.com/shadowgovernmentwars/
oilgeopolitics.net,conspiracy,,,
pamelageller.com,conspiracy,fake,bias,
politicalblindspot.com,conspiracy,junksci,,ex: vaccines are a way for the CIA to spy on us
prepperwebsite.com,conspiracy,fake,,
prisonplanet.com,conspiracy,,,
prisonplanet.com,conspiracy,,,
prisonplanet.tv,conspiracy,,,
rense.com,conspiracy,junksci,,
rumormillnews.com,conspiracy,junksci,rumor,
secretsofthefed.com,conspiracy,junksci,,
sentinelblog.com,conspiracy,junksci,,
sheepkillers.com,conspiracy,junksci,,
shoebat.com,conspiracy,bias,,
Silver-Coin-Investor.com,conspiracy,bias,unreliable,
SilverBearCafe.com,conspiracy,,,
SilverDoctors.com,conspiracy,bias,,
SilverStealers.net,conspiracy,,,
skeptiko.com,conspiracy,junksci,,
sonsoflibertyradio.com,conspiracy,bias, unreliable,
thedailysheeple.com,conspiracy,bias,,
theeconomiccollapseblog.com,conspiracy,bias,,
theeventchronicle.com,conspiracy,junksci,clickbait,
TheExtinctionProtocol.com,conspiracy,,,
theforbiddenknowledge.com,conspiracy,junksci,,
thelibertybeacon.com,conspiracy,junksci,bias,
themindunleashed.com,conspiracy,junksci,clickbait,
themindunleashed.org,conspiracy,junksci,clickbait,
thephaser.com,conspiracy,,,
thepoliticalinsider.com,conspiracy,bias,unreliable,
truthbroadcastnetwork.com,conspiracy,clickbait,,
truthfrequencyradio.com,conspiracy, ,,
ufoholic.com,conspiracy,,,
wakeupthesheep.com,conspiracy,,,
wakingupwisconsin.com,conspiracy, ,,
weshapelife.org,conspiracy,junksci,,
whatdoesitmean.com,conspiracy,,,
whatreallyhappened.com,conspiracy,rumor,,
whowhatwhy.org,conspiracy,,,9/11 = FBI coverup
wikispooks.com,conspiracy,,,
Willyloman.wordpress.com,conspiracy,,,
worldtruth.tv,conspiracy,junksci,,
X22Report.com,conspiracy,,,website down
zerohedge.com,conspiracy,,,
zootfeed.com,conspiracy,,,
