website,type,2nd type,3rd type,Source Notes (things to know?)
actforamerica.org/news,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups
adflegal.org/media,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups
americanborderpatrol.com,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups
amren.com,hate,conspiracy,,
amren.com,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups
aryannationswordwide1488.org,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups
barenakedislam.com,hate,,,
barnesreview.org,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups
bigbluevision.com,hate,,,
centerforsecuritypolicy.org/#articles,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups
christianfightback.com,hate,bias,,
creativitymovement.net/category/news/,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups
dailyken.com,hate,,,
dailystormer.com,hate,conspiracy,bias,pretty well known neo-nazi site
darkmoon.me,hate,bias,,
davidduke.com,hate,,,
drrichswier.com,hate,bias,,
EUTimes.net,hate,conspiracy,,
gatesofvienna.net,hate,conspiracy,,
glaringhypocrisy.com,hate,conspiracy,,"references to ""Jew World Order"""
ihr.org,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups
libertyfederation.com,hate,,,
nationalvanguard.org,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups
npiamerica.org,hate,bias,,white supremacist think tank
returnofkings.com,hate,,,
themuslimissue.wordpress.com,hate,conspiracy,,
therightstuff.biz,hate,,,
truthfeed.com,hate,bias,conspiracy,
whitepower.com,hate,conspiracy,bias,
