website,type,2nd type,3rd type,Source Notes (things to know?)
AmericanKabuki.blogspot.com,junksci,,,
ancient-code.com,junksci,unreliable,,
checkoutthehealthyworld.com,junksci,clickbait,,
collective-evolution.com,junksci,,,
collectivelyconscious.net,junksci,conspiracy,,
consciouslifenews.com,junksci, ,,
dineal.com,junksci,,,
ewao.com,junksci,,,
ExperimentalVaccines.org,junksci,conspiracy,,
foodbabe.com,junksci,,,
galacticconnection.com,junksci,,,
geoengineeringwatch.org,junksci,conspiracy,,
GreenMedInfo.com,junksci,,,
healthimpactnews.com,junksci,bias,,
healthnutnews.com,junksci,,,
healthy-holistic-living.com,junksci,clickbait,,
icr.org,junksci,,,
in5d.com,junksci,,,
lifeprevention.com,junksci,,,
naturalblaze.com,junksci,conspiracy,,
naturalnews.com,junksci,conspiracy,,
naturalnewsblogs.com,junksci,,,
rawforbeauty.com,junksci,,,
realfarmacy.com,junksci,conspiracy,,
realplanetnews.com,junksci,,,
responsibletechnology.org,junksci,,,
revolutions2040.com,junksci,clickbait,,
thetruthaboutcancer.com,junksci,,,
TheTruthWins.com,junksci,conspiracy,clickbait,
wakingtimes.com,junksci,,,
whydontyoutrythis.com,junksci,rumor,,
worldwidehealthy.com,junksci,clickbait,,
