website,type,2nd type,3rd type,Source Notes (things to know?)
americantoday.news,rumor,bias,,
amtvmedia.com,rumor,unreliable,,
bigbluedimension.com,rumor,bias,,
christiantimesnewspaper.com,rumor,bias,fake,https://www.nytimes.com/2017/01/18/us/fake-news-hillary-clinton-cameron-harris.html?_r=1&mtrref=t.co&gwh=1CC9755BA757D7782D8A46A6F6FBF22E&gwt=pay
express.co.uk,rumor,,,well-known tabloid
loanpride.com,rumor,clickbait,,http://loanpride.com/obama-family-divorce-attorney-quit-smoking-tips/?utm_source=revcontent&utm_medium=56198&utm_term=conservative%20news&utm_content=1770992&utm_campaign=234718&utm_widget_id=56198
magafeed.com,rumor,bias,fake,"""god/emperor"" category for trump"
mediazone.news,rumor,unreliable,,
megafreshnews.com,rumor,,,
newswire-24.com,rumor,unreliable,,
pollhype.com,rumor ,clickbait,bias,
