website,type,2nd type,3rd type,Source Notes (things to know?)
dailyleak.org,satire,fake,,
abriluno.com,satire,fake,,
aceflashman.wordpress.com,satire,,,
actualidadpanamericana.com,satire,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
adobochronicles.com,satire,,,
associatedmediacoverage.com,satire,,,
awazetribune.com,satire,,,
beehivebugle.com,satire,,,
betootaadvocate.com,satire,,,
bigamericannews.com,satire,fake,,
borowitzreport.com,satire,,,
bostontribune.com,satire,fake,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
burrardstreetjournal.com,satire,,,
callthecops.net,satire,,,
celebtricity.com,satire,,,
chaser.com.au,satire,,,
christwire.org,satire,,,
chronicle.su,satire, ,,
clickhole.com,satire,,,
creambmp.com,satire,fake,,
crystalair.com,satire,,,redirects to http://www.cap-news.com/
dailycurrant.com,satire,,,
dailydiscord.com,satire,,,
dailysnark.com,satire,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
dailysquib.co.uk,satire,,,
dandygoat.com,satire,,,
der-postillon.com,satire,,,German language site
derfmagazine.com,satire,,,
disclose.tv,satire,conspiracy,,
diversitychronicle.wordpress.com,satire,,,self-labled: https://diversitychronicle.wordpress.com/disclaimer/ 
duffleblog.com,satire,,,
duhprogressive.com,satire,,,
elkoshary.com,satire,,,About Me notes that it's not fake/satirical news
elmundotoday.com,satire,,,About Me notes that it's not fake/satirical news
empiresports.co,satire,,,About Me notes that it's not fake/satirical news
empiresports.co,satire,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
fmobserver.com,satire,,,
fognews.ru,satire,,,site contains satire disclaimer
freepatriot.org,satire,,,site contains satire disclaimer 
freewoodpost.com,satire,,,
fridaymash.com,satire,,,
glossynews.com,satire,,,
gomerblog.com,satire,,,site contains satire disclaimer 
holyobserver.com,satire,,,
humortimes.com,satire,,,
huzlers.com,satire,,,
ironictimes.com,satire,,,
islamicanews.com,satire,,,
johnnyrobish.com,satire,,,
landoverbaptist.org,satire,,,
liberalbias.com,satire,,,
liberaldarkness.com,satire,fake,,
lushforlife.com,satire,,,
nahadaily.com,satire,,,
nationalreport.net,satire,fake,,
ncscooper.com,satire,,,
newsbiscuit.com,satire,,,http://www.newsbiscuit.com/about/disclaimer/ 
newsbreakers.org,satire,,,
newsmutiny.com,satire,fake,,
newsthump.com,satire,,,site contains satire disclaimer
newstoad.net,satire,,,Tagline: The news they don't want you to hear. Because it isn't true.
newyorker.com/humor,satire,,,
objectiveministries.org,satire,,,
patriotnewsdaily.com,satire,,,
politicops.com,satire,fake,,redirects to Newslo
politicot.com,satire,fake,,redirects to Newslo
reductress.com,satire,,,
religionlo.com,satire,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
rockcitytimes.com,satire,,,
satiratribune.com,satire,,,
satirewire.com,satire,,,
scrappleface.com,satire,,,
sensationalisttimes.com,satire,,,
speld.nl,satire,,,
sportspickle.com,satire,,,
stneotscitizen.com,satire,,,
stuppid.com,satire,,,
surrealscoop.com,satire,,,
thebeaverton.com,satire,,,
thedailymash.co.uk,satire,,,
thedailywtf.com,satire,,,
thehardtimes.net,satire,,,
theineptowl.com,satire,,,
thelastlineofdefense.org,satire,,,http://thelastlineofdefense.org/about-us/
themadisonmisnomer.com,satire,,,
themideastbeast.com,satire,,,http://www.themideastbeast.com/about/
thenewsnerd.com,satire,,,
theonion.com,satire,,,
thepoke.co.uk,satire,,,
therightists.com,satire, ,,publishes both biased and fake content
theseattletribune.com,satire,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/
theshovel.com.au,satire,,,
theskunk.org,satire,,,
thespoof.com,satire,,,
thestatelyharold.com,satire,,,
thetimesoftheworld.com,satire,,,
theunrealtimes.com,satire,,,
theuspatriot.com,satire,fake,,
thevalleyreport.com,satire,,,
topekasnews.com,satire,,,
unconfirmedsources.com,satire,,,
us.blastingnews.com,satire,unreliable,,
waterfordwhispersnews.com,satire,,,
WilliamBanzai7.blogspot.com,satire,,,
winkprogress.com,satire,,,
witscience.org,satire,,,
wonkie.com,satire,,,
worldnewsdailyreport.com,satire,,,
wundergroundmusic.com,satire,,,
