Source,Type,URL,Title,Authors,Date,Content
100percentfedup,['bias'],http://100percentfedup.com/category/news/government-news/,Government Archives,[],,Stay In The Loop! Subscribe Don't miss a single thing. Submit your email address below and we'll keep you in the loop.
100percentfedup,['bias'],http://100percentfedup.com/category/news/left-news/,100percentfedUp.com,[],,Stay In The Loop! Subscribe Don't miss a single thing. Submit your email address below and we'll keep you in the loop.
100percentfedup,['bias'],http://100percentfedup.com/category/news/islam/,100percentfedUp.com,[],,Stay In The Loop! Subscribe Don't miss a single thing. Submit your email address below and we'll keep you in the loop.
100percentfedup,['bias'],http://100percentfedup.com/category/news/politics/,100percentfedUp.com,[],,Stay In The Loop! Subscribe Don't miss a single thing. Submit your email address below and we'll keep you in the loop.
100percentfedup,['bias'],http://100percentfedup.com/hilarious-fox-news-greg-gutfeld-introduces-new-sponsor-of-his-showvictima-video/,HILARIOUS! FOX News Greg Gutfeld Introduces New Sponsor Of His ShowVictima [VIDEO],['Fed Up'],2017-05-20 23:25:56+00:00,"At the start of the Fox News Greg Gutfeld Show, Gutfeld showed a hilarious clip mocking the hysteria of the Democrat Party. Gutfeld began his show by telling his viewers, Im really excited to introduce a new sponsor to our show. Its a new drug. Its called Victima' Gutfeld went on to explain that the drug was created to help Democrats who are feeling defeated after the brutal election of Donald Trump cope: When identity politics no longer work, try Victima. Americas been witnessing the embarrassing meltdown of liberals ever since President Trump shocked the world with his stinging defeat of Crooked Hillary, so Gutfeld decided to have a little fun by mocking the embarrassing behavior of the left. The voice in the commercial mimics the typical TV drug commercials with sappy music playing in the background: Its not what it used to be. It used to be fine.The Democratic Partyits not performong.Its slow, sluggish, confused, prone to fits of despair. It may be time for Victima. Victims, when your old identity politics no longer work, Victima gives you that added boost to get you to where you want to be. When I take Victima, I see everyone as a racist. It really works. Watch: Ironically, FOX News fired Bob Beckel, the only liberal on the Gutfeld Show the day after this show aired, after he allegedly made a racist remark that offended a black employee working at FOX. Hmmm"
100percentfedup,['bias'],http://100percentfedup.com/tim-allens-last-man-standing-revived-passionate-conservatives-express-outrage-abcs-decision-cancel-show/,IS TIM ALLENS Last Man Standing About To Be Revived After Passionate Conservatives Express Outrage Over ABCs Decision To Cancel Show?,['Fed Up'],2017-05-20 22:26:56+00:00,"Tim Allen took to Twitter to express his disappointment after discovering that the second highest rated comedy TV series on ABC, Last Man Standing was going to be cancelled: Stunned and blindsided by the network I called home for the last six years. #lastmanstanding  Tim Allen (@ofctimallen) May 16, 2017 Many of his fans commented in support of his courage to stand up for his conservative views: @ofctimallen Thanks for standing up and speaking out against the PC police for as long as you could, Tim.  Mark Dice (@MarkDice) May 16, 2017 Conservative comedian Mark Dice also reminded him that his comments on a recent Jimmy Kimmel show about how it was tough to be a conservative in Hollywood, was likely the final straw that caused ABC to cancel his show: @ofctimallen You calling out the Liberals for their insanity on Jimmy Kimmel was the last straw for the Network, but someone had to do it. Thanks, Tim!  Mark Dice (@MarkDice) May 16, 2017 On March 17, 2017, Tim Allen was a guest on the Jimmy Kimmel ShowAllen told Kimmel he has to be careful around intolerant liberals in Hollywood, saying: Its like 1930s Germany! A petition was started last week by Last Man Standing fans and now has over 371K signatures. The petition asks ABC to reconsider their decision to cancel the Last Man Standing and to renew the show. Here is the LINK to that petition: The petition to ABC reads: Despite consistently high rankings, especially considering the time slot in which it is aired, Tim Allens show Last Man Standing has been cancelled by the network on which it is aired, ABC. Last Man Standing stands out in the sea of network television sitcoms. It is a show that appeals to a broad swath of Americans who find very few shows that extol the virtues with which they can identify; namely conservative values. Last Man Standing was not just selling conservative ideals though, as some of the characters in the show are clearly of the liberal persuasion, yet the characters on the show all manage to get along and take care of one another, despite their politically opposed views. The show is about more than politics though, it is about family. In fact, politics is only a secondary part of the show, but one in which many Americans can readily identify. Last Man Standing is one of the only shows on broadcast television, and the only sitcom, that is not constantly shoving liberal ideals down the throats of the viewers. And sadly, that is likely the real reason the show has been cancelled. The intent of this petition/boycott is to attempt to get ABC to renew the show. With that in mind, I will no longer be watching any ABC shows. I have cancelled the DVR settings for the other ABC shows that I regularly watch. If you want to help try to save Last Man Standing, I encourage you to do the same. Even if you are not willing to boycott the network, but still want to save the show, please sign this petition and share it. If you do plan to boycott ABC, please say so when you sign. Let them hear our voices. Now, Studio 20th Century Fox Television is looking for a new home for canceled Tim Allen comedy Last Man Standing. Speaking to Variety Thursday, studio presidents Jonnie Davis and Howard Kurtzman said that they were surprised by ABCs decision to pull the plug on the show. Thats the one thats really an open sore right now, Davis said. Kurtzman added, We really were expecting a pickup. The fact that we didnt get a pickup was a surprise and a disappointment. I think no one was more disappointed than Tim Allen, such a huge star with such a huge following. But the series, which was ABCs second most-watched comedy last season behind Modern Family, may not be dead. Asked whether Last Man Standing would be shopped to other networks, Kurtzman said, Were starting to explore that. If its not going to go forward at ABC, of course Jonnie and I are hopeful that we can find another home for it. And the studio heads are encouraged by the fan support that theyve seen for the show since ABC confirmed its cancellation last week. We know how passionate our fans are, and were seeing that now, Davis said. Political and social conservatives have been vocal in their disappointment over the shows end. Allen, its star and executive producer, is conservative and a supporter of President Trump. Speaking to reporters Tuesday, ABC entertainment president Channing Dungey denied that Last Man Standing was canceled because of Allens right-leaning politics, and said that it was, instead, a scheduling decision. Once we made the decision not to continue with comedy on Friday, it was just kind of thats where we landed, she said. Variety Time will tell if ABCs fan base is more important to them than their liberal views"
100percentfedup,['bias'],http://100percentfedup.com/president-trump-proclaims-today-a-special-day-to-honor-our-armed-forces/,President Trump Proclaims Today A Special Day To Honor Our Armed Forces,['Fed Up'],2017-05-20 17:57:42+00:00,"President Donald J. Trump Proclaims the Third Saturday of Each May as Armed Forces Day. ARMED FORCES DAY, 2017        BY THE PRESIDENT OF THE UNITED STATES OF AMERICA A PROCLAMATION For almost 70 years, our Nation has set aside one day to recognize the great debt we owe to the men and women who serve in the Army, Navy, Air Force, Marine Corps, and Coast Guard. On Armed Forces Day, we salute the bravery of those who defend our Nations peace and security. Their service defends for Americans the freedom that all people deserve. This year, we also reflect on the 100th anniversary of our Nations entry into World War I. More than 4.7 million Americans would ultimately serve in the United States Armed Forces during that terrible conflict. Their sacrifice has not been forgotten. One hundred years later, we face different threats and challenges. But our safety and security, and the defense of our way of life, rest in the same able hands of our Armed Forces. Because our Armed Forces must constantly adapt to new threats, our Nation is committed to ensuring they have the tools and resources they need as they train, deploy, and fight in defense of our country and defending our values. This is why my budget calls for a $54 billion increase in national defense spending. Today, we salute our Soldiers, Sailors, Airmen, Marines, and Coast Guardsmen for their dedication as they carry out the extraordinary duty of protecting our country. We also pay tribute to the families who serve alongside them, lending their steadfast love and support. NOW, THEREFORE, I, DONALD J. TRUMP, President of the United States of America, and Commander in Chief of the Armed Forces of the United States, continuing the tradition of my predecessors in office, do hereby proclaim the third Saturday of each May as Armed Forces Day. I invite the Governors of the States and Territories and other areas subject to the jurisdiction of the United States to provide for the observance of Armed Forces Day within their jurisdiction each year in an appropriate manner designed to increase public understanding and appreciation of the Armed Forces of the United States. I also invite veterans, civic, and other organizations to join in the observance of Armed Forces Day each year. Finally, I call upon all Americans to display the flag of the United States at their homes and businesses on Armed Forces Day, and I urge citizens to learn more about military service by attending and participating in the local observances of the day. Proclamation 9452 of May 20, 2016, is hereby superseded. IN WITNESS WHEREOF, I have hereunto set my hand this nineteenth day of May, in the year of our Lord two thousand seventeen, and of the Independence of the United States of America the two hundred and forty-first. DONALD J. TRUMP"
100percentfedup,['bias'],http://100percentfedup.com/cnns-anderson-pooper-responds-after-outcry-over-crude-swipe-at-trump-supporter-video/,CNNS ANDERSON POOPER Responds After Outcry Over Crude Swipe At Trump Supporter [Video],['Fed Up'],2017-05-20 16:52:29+00:00,"CNN host Anderson Cooper apologized for a crude remark directed at President Trump supporter Jeffrey Lord during his show on Friday, calling his comment unprofessional. IN CASE YOU MISSED IT, THE VIDEO IS BELOW THIS VIDEO OF THE APOLOGY. BTW, here's @anderscooper's on air apology for what he said were ""crude"" comments@realJeffreyLord still having a laugh about it pic.twitter.com/1gWuHqLPjY  Salvador Hernandez (@SalHernandez) May 20, 2017 During a segment on AC360, Cooper verbally sparred with Lord, a CNN political commentator, over revelations that Trump reportedly told Russian officials that former FBI Director James Comey is a nut job who was adding pressure to the ongoing investigation of possible interference in the 2016 election. Clearly frustrated with Lords response to the matter, Cooper interrupted the conservative pundit and interjected with a not-so-subtle jab. If he took a dump on his desk, you would defend it, Cooper told Lord. I dont know what he would do that you would not defend. IN CASE YOU MISSED THIS HORRIBLE TV MOMENT: ""If he took a dump on his desk you would defend it."" @andersoncooper what?  pic.twitter.com/nD8ZfZKtVN  Salvador Hernandez (@SalHernandez) May 20, 2017 First it was the childish eye roll to Kellyanne Conway and now its potty humorHow professional!"
100percentfedup,['bias'],http://100percentfedup.com/whoa-saudi-guards-with-swords-dance-and-celebrate-around-melania-and-president-trump-video/,WHOA! SAUDI GUARDS With Swords Dance And Celebrate Around Melania and President Trump [Video],['Fed Up'],2017-05-20 16:21:42+00:00,"When President Trump and First Lady Melania Trump arrived at the Murabba Palace in Riyadh, Saudi Arabia they were greeted by guards with swords dancing. President Trump received a red carpet welcome only reserved for very special guests. There were other examples of special things the Saudis did for the First Family. What stands out the most is when the king shook the First Ladies hand. A very rare occurrence indeed! The press can be nasty all they want. This trip has been a huge success so far: OUR PREVIOUS REPORT ON THE ARRIVAL OF THE PRESIDENT AND FIRST LADY: President Donald Trump and First Lady Melania Trump arrived in Saudi Arabia to rare red carpet treatment. What a great way to begin the Presidents first foreign trip that will last 9 days. Several symbolic gestures by the Saudis show a sign of respect and friendship. This is very different from when Obama went to Saudi Arabia last year and the kind didnt even come to the airport to greet him. He touched down in the Middle East this morning, hours after tweeting about his excitement for his first big foreign trip. Trump flew to the capital Riyadh overnight on Air Force One  becoming the only president to make Saudi Arabia, or any majority Muslim country, his first stop overseas as president. His arrival following a 6,700-mile flight was met with the pomp usually reserved for the likes of a Papal welcome in South America. The president got the red carpet treatment  literally  and some airport workers took off their shoes before manicuring it with brooms in 97-degree heat. Another symbolic gesture by the kingdom: There were 30 U.S. flags at the ready, a tiny fraction of the thousands that line streets and highways between the airport and the city center. The king greeted President Trump at the bottom of the stairs  a very rare scene. A 90-person Royal Saudi Air Forces honor guard practiced rifle drills and then stood at attention while Trump and his kingly escort ambled toward the terminal. Melania and Ivanka Trump seemed determine to make a statement by deplaning without head coverings. This was a rare sight among women in Riyadh whose main choices are the hijab and the niqab. The King shook First Lady Melania Trumps hand  a rare scene. Still, the first lady stayed a half-dozen steps behind King Salman and her politician-husband, escorted by a lone U.S. Marine in full dress uniform. After a welcome ceremony inside the Royal Terminal, Trump and Salman sat together in The Beast, the White Houses armored SUV that travels in the belly of Air Force One.  The first stop was the glitzy Ritz-Carlton, whose exterior is being lit up at night with giant projected images of the American flag. Trumps first overseas speech is expected to frame the global fight against ISIS and other Islamist terror groups as a battle between good and evil  but early drafts suggest he will not use the phrase radical Islamic terrorism.  He will also call on leaders in the Middle East to drive out terrorists from your places of worship. Signs of American caution are everywhere as the president who once campaigned on the strength of excluding Muslims from the U.S. ventured into the nation whose king partners in construction with the Bin Laden Group. U.S. military snipers stood guard on nearby jetways. A duplicate Air Force One 747 jet stood by, lest Trumps schedule should be waylaid by engine trouble. Read more: Daily Mail"
100percentfedup,['bias'],http://100percentfedup.com/rush-limbaugh-wife-kathryn-sean-hannity-and-ethel-kennedy-attend-roger-ailes-funeral-under-heavy-security-video/,"RUSH LIMBAUGH, WIFE KATHRYN, SEAN HANNITY and Ethel Kennedy Attend Roger Ailes Funeral Under Heavy Security [VIDEO]",['Fed Up'],2017-05-20 16:07:26+00:00,"Radio host and frequent FOX News contributor Laura Ingraham and Fox News The Five host Kimberly Guilfoyle were seen leaving the funeral service for former FOX News chief Roger Ailes with Sean Hannity. Kimberly Guilfoyle was one of the few women at FOX News who stood up for Roger Ailes when he was being accused of sexually harassment by former Fox and Friends host Gretchen Carlson. Guilfoyle tweeted a message of support for the Ailes family on Twitter following his death: RIP #RogerAiles sending my love and prayers to Beth & Zachary. Roger was a friend and a mentor to so many of us @FoxNews he will be missed  Kimberly Guilfoyle (@kimguilfoyle) May 18, 2017 Guilfoyle also bravely eulogized Ailes on FOX News. It was her current bosses the Murdoch boys, who fired Roger Ailes, the man who put FOX News at the top of the ratings due to allegations of sexually harassment by Gretchen Carlson and later from former FOX host Megyn Kelly: Former Fox News boss Roger Ailes was eulogized in the town of Palm Beach at St. Edward Roman Catholic church Saturday morning in a service heavy with references to suffering. Beth (Ailes wife, Elizabeth) came to me Friday and asked that I officiate, St. Edward Monsignor Thomas J. Klinzing told DailyMail.com. She asked me to base some of my reading on the theme of suffering. I believe Roger suffered quite a bit with those accusations. Klingzing was referring to Ailes firing from the network he founded last year after fired FNC anchorwoman Gretchen Carlson accused him of sexual harassment followed by other women coming forward with similar accusations. Ailes coffin was carried out at 11am to the altar of the 90-year-old church, famously President John F. Kennedys Winter White House church, as five members of the Palm Beach Police Department presented the colors. The ceremony was kept secret by Ailes family members and was attended by fewer than 100 family and friends, and took place with heavy security under the watch of three private security guards. The media guru and political strategist died on Thursday in Palm Beach, Florida aged 77. Rush Limbaugh and his wife Kathryn were in the front row. Douglas Kennedy, a nephew of JFK who works at Fox News, read from Letters of Paul to the Romans, a passage about how nothing can separate a believer from the love of God. Sean Hannity read a responsorial psalm. I wouldnt be what I am today without Roger, Hannity told DailyMail.com exclusively after the funeral. He took me as a local radio host in Atlanta and gave me the opportunity of a lifetime. He saw things in people that no one else would see. He is an American patriot of the highest level. For entire story: Daily Mail"
